us-west1
us-central1
us-east1
us-east4
europe-west1
europe-west2
asia-east1
asia-east2
asia-northeast1
asia-northeast2
us-west2
us-west3
us-west4
northamerica-northeast1
southamerica-east1
europe-west3
europe-west6
europe-central2
australia-southeast1
asia-south1
asia-southeast1
asia-southeast2
asia-northeast3
